date,fips,ave_precip,Month,County
5/31/2002,36001,0.157131836,5,Albany
6/30/2002,36001,0.166913116,6,Albany
7/31/2002,36001,0.055652134,7,Albany
8/31/2002,36001,0.136339954,8,Albany
9/30/2002,36001,0.102370035,9,Albany
5/31/2003,36001,0.142510374,5,Albany
6/30/2003,36001,0.122952027,6,Albany
7/31/2003,36001,0.124079153,7,Albany
8/31/2003,36001,0.141553209,8,Albany
9/30/2003,36001,0.207071783,9,Albany
5/31/2004,36001,0.135863544,5,Albany
6/30/2004,36001,0.079268142,6,Albany
7/31/2004,36001,0.192295913,7,Albany
8/31/2004,36001,0.213742084,8,Albany
9/30/2004,36001,0.222494421,9,Albany
5/31/2005,36001,0.071098485,5,Albany
6/30/2005,36001,0.116399205,6,Albany
7/31/2005,36001,0.123739592,7,Albany
8/31/2005,36001,0.082811948,8,Albany
9/30/2005,36001,0.060746681,9,Albany
5/31/2006,36001,0.150908925,5,Albany
6/30/2006,36001,0.30049838,6,Albany
7/31/2006,36001,0.098563918,7,Albany
8/31/2006,36001,0.131057098,8,Albany
9/30/2006,36001,0.112312497,9,Albany
5/31/2007,36001,0.100289653,5,Albany
6/30/2007,36001,0.120843173,6,Albany
7/31/2007,36001,0.156032854,7,Albany
8/31/2007,36001,0.06922314,8,Albany
9/30/2007,36001,0.107182312,9,Albany
5/31/2008,36001,0.039652896,5,Albany
6/30/2008,36001,0.173465263,6,Albany
7/31/2008,36001,0.240169638,7,Albany
8/31/2008,36001,0.085236669,8,Albany
9/30/2008,36001,0.138657533,9,Albany
5/31/2009,36001,0.126172816,5,Albany
6/30/2009,36001,0.172053144,6,Albany
7/31/2009,36001,0.205700059,7,Albany
8/31/2009,36001,0.143465946,8,Albany
9/30/2009,36001,0.056537634,9,Albany
5/31/2010,36001,0.069138246,5,Albany
6/30/2010,36001,0.133584372,6,Albany
7/31/2010,36001,0.094274023,7,Albany
8/31/2010,36001,0.116056844,8,Albany
9/30/2010,36001,0.033930785,9,Albany
5/31/2011,36001,0.15924612,5,Albany
6/30/2011,36001,0.150886874,6,Albany
7/31/2011,36001,0.099442071,7,Albany
8/31/2011,36001,0.408382358,8,Albany
9/30/2011,36001,0.261682078,9,Albany
5/31/2012,36001,0.166937692,5,Albany
6/30/2012,36001,0.056017348,6,Albany
7/31/2012,36001,0.093107875,7,Albany
8/31/2012,36001,0.074829734,8,Albany
9/30/2012,36001,0.205206306,9,Albany
5/31/2013,36001,0.210636581,5,Albany
6/30/2013,36001,0.262296315,6,Albany
7/31/2013,36001,0.10731365,7,Albany
8/31/2013,36001,0.110927752,8,Albany
9/30/2013,36001,0.101335387,9,Albany
5/31/2014,36001,0.119838202,5,Albany
6/30/2014,36001,0.201428705,6,Albany
7/31/2014,36001,0.163353267,7,Albany
8/31/2014,36001,0.062432876,8,Albany
9/30/2014,36001,0.039057462,9,Albany
5/31/2015,36001,0.029971246,5,Albany
6/30/2015,36001,0.222258753,6,Albany
7/31/2015,36001,0.090873028,7,Albany
8/31/2015,36001,0.11514026,8,Albany
9/30/2015,36001,0.179310726,9,Albany
5/31/2016,36001,0.084144981,5,Albany
6/30/2016,36001,0.080557359,6,Albany
7/31/2016,36001,0.114439167,7,Albany
8/31/2016,36001,0.138753924,8,Albany
9/30/2016,36001,0.063328876,9,Albany
5/31/2017,36001,0.204768243,5,Albany
6/30/2017,36001,0.13534598,6,Albany
7/31/2017,36001,0.142963052,7,Albany
8/31/2017,36001,0.088834945,8,Albany
9/30/2017,36001,0.070291902,9,Albany
5/31/2018,36001,0.078512276,5,Albany
6/30/2018,36001,0.085390662,6,Albany
7/31/2018,36001,0.180990032,7,Albany
8/31/2018,36001,0.254558376,8,Albany
9/30/2018,36001,0.18631283,9,Albany
5/31/2019,36001,0.141771046,5,Albany
6/30/2019,36001,0.155279983,6,Albany
7/31/2019,36001,0.154327334,7,Albany
8/31/2019,36001,0.128129093,8,Albany
9/30/2019,36001,0.045399643,9,Albany
5/31/2020,36001,0.08325699,5,Albany
6/30/2020,36001,0.082858561,6,Albany
7/31/2020,36001,0.135786181,7,Albany
8/31/2020,36001,0.216519938,8,Albany
9/30/2020,36001,0.103881511,9,Albany
5/31/2002,36003,0.173305191,5,Allegany
6/30/2002,36003,0.184214186,6,Allegany
7/31/2002,36003,0.082731988,7,Allegany
8/31/2002,36003,0.060046657,8,Allegany
9/30/2002,36003,0.11957949,9,Allegany
5/31/2003,36003,0.107819568,5,Allegany
6/30/2003,36003,0.135199422,6,Allegany
7/31/2003,36003,0.267867007,7,Allegany
8/31/2003,36003,0.192764101,8,Allegany
9/30/2003,36003,0.160849658,9,Allegany
5/31/2004,36003,0.23874753,5,Allegany
6/30/2004,36003,0.112142355,6,Allegany
7/31/2004,36003,0.168753405,7,Allegany
8/31/2004,36003,0.170029057,8,Allegany
9/30/2004,36003,0.179567439,9,Allegany
5/31/2005,36003,0.044017883,5,Allegany
6/30/2005,36003,0.113117007,6,Allegany
7/31/2005,36003,0.088124067,7,Allegany
8/31/2005,36003,0.148816344,8,Allegany
9/30/2005,36003,0.122211398,9,Allegany
5/31/2006,36003,0.072353553,5,Allegany
6/30/2006,36003,0.147152133,6,Allegany
7/31/2006,36003,0.201356051,7,Allegany
8/31/2006,36003,0.160758842,8,Allegany
9/30/2006,36003,0.16121839,9,Allegany
5/31/2007,36003,0.034903172,5,Allegany
6/30/2007,36003,0.099467911,6,Allegany
7/31/2007,36003,0.116433164,7,Allegany
8/31/2007,36003,0.098753821,8,Allegany
9/30/2007,36003,0.122398666,9,Allegany
5/31/2008,36003,0.082057613,5,Allegany
6/30/2008,36003,0.127420767,6,Allegany
7/31/2008,36003,0.159382511,7,Allegany
8/31/2008,36003,0.136619019,8,Allegany
9/30/2008,36003,0.090059611,9,Allegany
5/31/2009,36003,0.113312391,5,Allegany
6/30/2009,36003,0.166219831,6,Allegany
7/31/2009,36003,0.141686154,7,Allegany
8/31/2009,36003,0.192664466,8,Allegany
9/30/2009,36003,0.055387075,9,Allegany
5/31/2010,36003,0.105188715,5,Allegany
6/30/2010,36003,0.176939195,6,Allegany
7/31/2010,36003,0.172659286,7,Allegany
8/31/2010,36003,0.110587999,8,Allegany
9/30/2010,36003,0.07902632,9,Allegany
5/31/2011,36003,0.232337906,5,Allegany
6/30/2011,36003,0.098692767,6,Allegany
7/31/2011,36003,0.030210427,7,Allegany
8/31/2011,36003,0.18756213,8,Allegany
9/30/2011,36003,0.153217052,9,Allegany
5/31/2012,36003,0.086213471,5,Allegany
6/30/2012,36003,0.12748813,6,Allegany
7/31/2012,36003,0.127930156,7,Allegany
8/31/2012,36003,0.113178959,8,Allegany
9/30/2012,36003,0.121159857,9,Allegany
5/31/2013,36003,0.107452785,5,Allegany
6/30/2013,36003,0.129106014,6,Allegany
7/31/2013,36003,0.125072349,7,Allegany
8/31/2013,36003,0.095168869,8,Allegany
9/30/2013,36003,0.105561615,9,Allegany
5/31/2014,36003,0.176504406,5,Allegany
6/30/2014,36003,0.160854985,6,Allegany
7/31/2014,36003,0.138728541,7,Allegany
8/31/2014,36003,0.123947871,8,Allegany
9/30/2014,36003,0.082942891,9,Allegany
5/31/2015,36003,0.090283328,5,Allegany
6/30/2015,36003,0.20061903,6,Allegany
7/31/2015,36003,0.099639623,7,Allegany
8/31/2015,36003,0.083379748,8,Allegany
9/30/2015,36003,0.189221132,9,Allegany
5/31/2016,36003,0.095558571,5,Allegany
6/30/2016,36003,0.082013105,6,Allegany
7/31/2016,36003,0.064579641,7,Allegany
8/31/2016,36003,0.144214153,8,Allegany
9/30/2016,36003,0.100146778,9,Allegany
5/31/2017,36003,0.140997913,5,Allegany
6/30/2017,36003,0.161347712,6,Allegany
7/31/2017,36003,0.16560767,7,Allegany
8/31/2017,36003,0.081728282,8,Allegany
9/30/2017,36003,0.096651137,9,Allegany
5/31/2018,36003,0.114383336,5,Allegany
6/30/2018,36003,0.124861625,6,Allegany
7/31/2018,36003,0.206830388,7,Allegany
8/31/2018,36003,0.173113874,8,Allegany
9/30/2018,36003,0.172388743,9,Allegany
5/31/2019,36003,0.132941096,5,Allegany
6/30/2019,36003,0.189762243,6,Allegany
7/31/2019,36003,0.139695954,7,Allegany
8/31/2019,36003,0.109013734,8,Allegany
9/30/2019,36003,0.084676351,9,Allegany
5/31/2020,36003,0.122813221,5,Allegany
6/30/2020,36003,0.096549263,6,Allegany
7/31/2020,36003,0.137593224,7,Allegany
8/31/2020,36003,0.0719502,8,Allegany
9/30/2020,36003,0.077786635,9,Allegany
5/31/2002,36005,0.112541279,5,Bronx
6/30/2002,36005,0.192372532,6,Bronx
7/31/2002,36005,0.035692788,7,Bronx
8/31/2002,36005,0.161789136,8,Bronx
9/30/2002,36005,0.199869067,9,Bronx
5/31/2003,36005,0.109103684,5,Bronx
6/30/2003,36005,0.363860486,6,Bronx
7/31/2003,36005,0.111234697,7,Bronx
8/31/2003,36005,0.199429078,8,Bronx
9/30/2003,36005,0.200173136,9,Bronx
5/31/2004,36005,0.152210988,5,Bronx
6/30/2004,36005,0.106829667,6,Bronx
7/31/2004,36005,0.260821284,7,Bronx
8/31/2004,36005,0.121462697,8,Bronx
9/30/2004,36005,0.343696144,9,Bronx
5/31/2005,36005,0.058551079,5,Bronx
6/30/2005,36005,0.096642637,6,Bronx
7/31/2005,36005,0.097434442,7,Bronx
8/31/2005,36005,0.108933478,8,Bronx
9/30/2005,36005,0.030910498,9,Bronx
5/31/2006,36005,0.198283365,5,Bronx
6/30/2006,36005,0.247746106,6,Bronx
7/31/2006,36005,0.18107613,7,Bronx
8/31/2006,36005,0.172710654,8,Bronx
9/30/2006,36005,0.081843494,9,Bronx
5/31/2007,36005,0.065012571,5,Bronx
6/30/2007,36005,0.156955894,6,Bronx
7/31/2007,36005,0.189237389,7,Bronx
8/31/2007,36005,0.177390504,8,Bronx
